job_title,location,date,rating,review_title,pros,cons
Staff,"London, England",13 January 2015,1.0,"""HELL THE WORST PLACE I'VE EVER WORKED. DO NOT WORK HERE!!!   NATURAL HISTORY MUSEUM.""",My colleagues are decent people.,"The Managers are arrogant, they pay you peanuts for the hardwork that you do without a thanks, breaks to short, dirty unclean environment, disgusting food in the canteen. Hours being cut.....No benefits no pay rise £6.30 to start . No Promotion or Progression. PEOPLE SPEAKING IN THEIR LANGUAGE ALL THE TIME IN FRONT OF YOU."
Section Leader,"London, England",21 December 2014,1.0,"""work like a horse""",Free drinks and discounted food,"wages- far to low for the amount of work expected from employees
job satisfaction- no one ever say thank you for your job, instead they push more and try to make people think that they should be grateful for this job
management: without education, without passion, without manners, don't respect employees
cutting hours and working short of staff is the everyday issue
LIES about fresh and healthy food"
Former Employee - Floor,"London, England",5 October 2014,1.0,"""Horror""","few: young, interesting people in the crew, free cofee, nice locations (parks, museums etc.)","No respect for any employee, they treat you like a rubish. From my own experience: if your team leader wont like you he will send you to clean the toilets every single day even though you are employed as a waiter. They use coarse and simple ways of humiliation. Once someone gets promotion he starts to bully his former colleagues. You are not supposed to express any objections to your manager at all. Oh, and you always have to smile when you are at work. Benugo is a really poor job and it is much better to spend some time finding another place to work."
"Current Employee - Barista, Junior Team Leader","London, England",16 May 2014,3.0,"""My own experience""","Great staff, nice discounts and some really good places.","Depends on the place, some of the staff they are having not many hours because they are quiet and the management still recruiting people. Some things are unbeliable on this company."
Former Employee - Waiter,"London, England",9 April 2014,2.0,"""Underpayed""",A very friendly atmosphere and good flexibility with the working hours.,"Totally underpayed, the service charge goes to the company, they try and steal any pennies to the employees, take ages before they first pay and steal money from the last payment.

Managers disrespect the staff and the upper managers trust their judgement."
Current Employee - Team Member,"London, England",6 February 2014,2.0,"""Team member""","You can work some of famous Museum, and Bank in London. and get some free drink and food.",Manager are not fair in the venue. Always need to care about their face. it was too much.
Former Employee - Waiter,"London, England",5 May 2013,1.0,"""Dissapointing""","Daytime only in some of their sites. That's about the main pro of working for them. No evenings, no double shifts, no having to deal with drunks. Also, they provide meal on shift, and a 30 minutes break, which I thought was very generous, all things considered.","Don't expect to be trained. Managers are completely clueless, and can't deal with pressure. You never know on which foot to dance. Lack a professional touch. The work for money ratio is below average. You will be paid the minimum they can legally pay you, and be worked to an inch of your life."
Team Leader,"London, England",17 April 2012,3.0,"""Great people to work with""","There's no getting away from the fact that work in this industry is hard. However there are some great people to work with at operations level. HQ allows a certain amount of independence for each unit which is important whilst still providing the ""standard"". To reach that standard the more individual restaurants are allowed a certain amount of leeway which is fair enough. 
Pay is not too great, it did get better for me quickly. I was reviewed fairly and promoted quickly which was the principal reason for me staying.","Hours can be erratic
Some systems dont work as well at the large scale level 
Bit of a revolving door. This creates a certain tired attitude from older staff who have to deal with new faces all the time. Nature of the business though."
Management Level,"London, England",3 January 2010,2.0,"""benugo is a young company with a massive growth potential but the lack o knowledge and interest make this company a fail""","lay back management stile
good coffee
good food","authocarcy from senior management
senior management with no  leadership, motivational ,OB experience whatsoever 
internal opportunities given to favorites only,
all staff bellow ops management level seems as unqualified , unexperienced, so no opportunities for new managers or potential new entrants"
General Manager,"London, England",4 October 2009,1.0,"""Catering""",Flexibility as there is no communications between managers and op manager,brown noses and favorites getting quicker on top ant than the easy life starts
Former Employee - Event Staff,,9 April 2020,3.0,"""Good Interim Position to Have""","Worked with good people, enjoyed perks of discounts at Benugo venues (e.g. castles, museums), regular staff events","The company doesn't value it's employees very much but the managers do, new executive/director leadership restructuring and policies"
Former Employee - Anonymous Employee,,16 January 2017,1.0,"""Poor salary and bad managment""",Multicultural place and head chef were really good,"Bad management, long hours, poor salary"
,,22 November 2016,3.0,"""Team member""",Good for new people in london,Stressful if you have a bad manager
Current Employee - Anonymous Employee,,20 September 2012,4.0,"""Positive""",People values are top priority,Room to improve reward levels
